user_id,age,gender,height,start_weight,goal,activity_level,gym_days_target,tdee,calorie_target,protein_target,base_adherence,week,weight,avg_daily_calories,avg_daily_protein,gym_days,adherence_score,weight_change,end_weight
user_01,46,M,179,72,weight_loss,sedentary,0,1936.5,1549.5,129.6,0.65,1,71.7,1573.5,106.4,0,0.7,-0.31,71.7
user_01,46,M,179,72,weight_loss,sedentary,0,1936.5,1549.5,129.6,0.65,2,71.5,1668.5,118.9,0,0.76,-0.24,71.5
user_01,46,M,179,72,weight_loss,sedentary,0,1936.5,1549.5,129.6,0.65,3,71.1,1607.5,79.8,0,0.62,-0.4,71.1
user_01,46,M,179,72,weight_loss,sedentary,0,1936.5,1549.5,129.6,0.65,4,70.8,1520.5,85.6,0,0.49,-0.27,70.8
user_01,46,M,179,72,weight_loss,sedentary,0,1936.5,1549.5,129.6,0.65,5,70.7,1667.5,104.3,0,0.48,-0.09,70.7
user_01,46,M,179,72,weight_loss,sedentary,0,1936.5,1549.5,129.6,0.65,6,70.6,1898.5,93.8,0,0.57,-0.13,70.6
user_01,46,M,179,72,weight_loss,sedentary,0,1936.5,1549.5,129.6,0.65,7,70.3,1666.5,106.8,0,0.73,-0.3,70.3
user_01,46,M,179,72,weight_loss,sedentary,0,1936.5,1549.5,129.6,0.65,8,70.0,1807.5,114.2,0,0.73,-0.31,70.0
user_01,46,M,179,72,weight_loss,sedentary,0,1936.5,1549.5,129.6,0.65,9,69.5,1644.5,105.8,0,0.57,-0.54,69.5
user_01,46,M,179,72,weight_loss,sedentary,0,1936.5,1549.5,129.6,0.65,10,69.0,1577.5,85.6,0,0.7,-0.53,69.0
user_01,46,M,179,72,weight_loss,sedentary,0,1936.5,1549.5,129.6,0.65,11,69.1,1727.5,102.4,0,0.47,0.05,69.1
user_01,46,M,179,72,weight_loss,sedentary,0,1936.5,1549.5,129.6,0.65,12,68.6,1437.5,104.3,0,0.58,-0.48,68.6
user_01,46,M,179,72,weight_loss,sedentary,0,1936.5,1549.5,129.6,0.65,13,68.4,1770.5,98.7,0,0.66,-0.19,68.4
user_01,46,M,179,72,weight_loss,sedentary,0,1936.5,1549.5,129.6,0.65,14,68.1,1573.5,93.0,0,0.48,-0.31,68.1
user_01,46,M,179,72,weight_loss,sedentary,0,1936.5,1549.5,129.6,0.65,15,67.9,1387.5,82.3,0,0.58,-0.24,67.9
user_02,41,F,154,71,weight_loss,light,3,1796.4,1305.4,127.8,0.95,1,70.6,1404.4,132.8,3,1.0,-0.44,70.6
user_02,41,F,154,71,weight_loss,light,3,1796.4,1305.4,127.8,0.95,2,70.4,1237.4,128.7,3,1.0,-0.15,70.4
